# per-entity spike aggregates over the canonical (entity-major) record
entity,type,spikes,first_tick,last_tick,tick_sum
0,E,0,-1,-1,0
1,E,0,-1,-1,0
2,E,0,-1,-1,0
3,E,5,2,397,1004
4,E,5,49,452,1251
5,E,6,3,497,1496
6,E,5,53,449,1256
7,E,0,-1,-1,0
8,E,5,54,450,1246
9,E,6,3,497,1511
10,E,0,-1,-1,0
11,E,0,-1,-1,0
12,E,0,-1,-1,0
13,E,0,-1,-1,0
14,E,0,-1,-1,0
15,E,5,0,400,998
16,E,5,49,450,1255
17,E,0,-1,-1,0
18,E,0,-1,-1,0
19,E,0,-1,-1,0
20,E,0,-1,-1,0
21,E,6,0,498,1504
22,E,0,-1,-1,0
23,E,0,-1,-1,0
24,E,0,-1,-1,0
25,E,0,-1,-1,0
26,E,0,-1,-1,0
27,E,6,2,496,1498
28,E,0,-1,-1,0
29,E,6,0,499,1505
30,E,0,-1,-1,0
31,E,0,-1,-1,0
32,E,5,46,453,1251
33,E,0,-1,-1,0
34,E,0,-1,-1,0
35,E,0,-1,-1,0
36,E,0,-1,-1,0
37,E,0,-1,-1,0
38,E,0,-1,-1,0
39,E,0,-1,-1,0
40,E,0,-1,-1,0
41,E,0,-1,-1,0
42,E,5,50,447,1246
43,E,0,-1,-1,0
44,E,0,-1,-1,0
45,E,0,-1,-1,0
46,E,0,-1,-1,0
47,E,0,-1,-1,0
48,E,0,-1,-1,0
49,E,0,-1,-1,0
50,E,5,52,452,1257
51,E,0,-1,-1,0
52,E,0,-1,-1,0
53,E,5,3,402,1005
54,E,0,-1,-1,0
55,E,6,2,499,1508
56,E,0,-1,-1,0
57,E,5,0,398,1001
58,E,0,-1,-1,0
59,E,0,-1,-1,0
60,E,0,-1,-1,0
61,E,0,-1,-1,0
62,E,0,-1,-1,0
63,E,0,-1,-1,0
64,E,0,-1,-1,0
65,E,0,-1,-1,0
66,E,0,-1,-1,0
67,E,0,-1,-1,0
68,E,0,-1,-1,0
69,E,0,-1,-1,0
70,E,0,-1,-1,0
71,E,6,0,498,1499
72,E,0,-1,-1,0
73,E,0,-1,-1,0
74,E,0,-1,-1,0
75,E,0,-1,-1,0
76,E,0,-1,-1,0
77,E,6,0,497,1503
78,E,5,46,448,1243
79,E,0,-1,-1,0
80,I,5,46,449,1239
81,I,0,-1,-1,0
82,I,0,-1,-1,0
83,I,0,-1,-1,0
84,I,0,-1,-1,0
85,I,0,-1,-1,0
86,I,5,47,448,1238
87,I,0,-1,-1,0
88,I,5,54,447,1246
89,I,0,-1,-1,0
90,I,0,-1,-1,0
91,I,4,11,310,640
92,I,5,54,454,1265
93,I,0,-1,-1,0
94,I,0,-1,-1,0
95,I,0,-1,-1,0
96,I,0,-1,-1,0
97,I,5,3,402,1001
98,I,0,-1,-1,0
99,I,0,-1,-1,0
100,E,5,51,451,1249
101,E,0,-1,-1,0
102,E,0,-1,-1,0
103,E,0,-1,-1,0
104,E,5,46,451,1245
105,E,0,-1,-1,0
106,E,5,48,453,1257
107,E,0,-1,-1,0
108,E,5,48,453,1248
109,E,0,-1,-1,0
110,E,0,-1,-1,0
111,E,0,-1,-1,0
112,E,0,-1,-1,0
113,E,0,-1,-1,0
114,E,0,-1,-1,0
115,E,0,-1,-1,0
116,E,5,46,451,1236
117,E,0,-1,-1,0
118,E,5,50,448,1253
119,E,6,0,499,1489
120,E,0,-1,-1,0
121,E,0,-1,-1,0
122,E,5,51,453,1253
123,E,0,-1,-1,0
124,E,5,46,449,1242
125,E,5,3,398,1002
126,E,5,49,454,1253
127,E,0,-1,-1,0
128,E,5,54,447,1256
129,E,0,-1,-1,0
130,E,0,-1,-1,0
131,E,0,-1,-1,0
132,E,0,-1,-1,0
133,E,6,4,497,1492
134,E,0,-1,-1,0
135,E,0,-1,-1,0
136,E,0,-1,-1,0
137,E,0,-1,-1,0
138,E,0,-1,-1,0
139,E,0,-1,-1,0
140,E,5,49,448,1248
141,E,0,-1,-1,0
142,E,0,-1,-1,0
143,E,0,-1,-1,0
144,E,0,-1,-1,0
145,E,0,-1,-1,0
146,E,0,-1,-1,0
147,E,0,-1,-1,0
148,E,0,-1,-1,0
149,E,0,-1,-1,0
150,E,0,-1,-1,0
151,E,5,0,402,998
152,E,0,-1,-1,0
153,E,0,-1,-1,0
154,E,0,-1,-1,0
155,E,0,-1,-1,0
156,E,5,48,450,1242
157,E,0,-1,-1,0
158,E,0,-1,-1,0
159,E,6,0,498,1500
160,E,0,-1,-1,0
161,E,0,-1,-1,0
162,E,0,-1,-1,0
163,E,0,-1,-1,0
164,E,0,-1,-1,0
165,E,0,-1,-1,0
166,E,0,-1,-1,0
167,E,0,-1,-1,0
168,E,0,-1,-1,0
169,E,0,-1,-1,0
170,E,0,-1,-1,0
171,E,0,-1,-1,0
172,E,0,-1,-1,0
173,E,0,-1,-1,0
