# per-entity spike aggregates over the canonical (entity-major) record
entity,type,spikes,first_tick,last_tick,tick_sum
0,E,1269,165,19990,13012174
1,E,1369,379,19984,14258028
2,E,1219,718,19991,12650551
3,E,1100,726,19988,11423190
4,E,1447,211,19987,14999888
5,E,1163,729,19997,12062806
6,E,1465,12,19986,15048543
7,E,904,717,19976,9375842
8,E,1478,171,19997,15286172
9,E,1480,0,19998,15189161
10,E,520,752,19997,5386305
11,E,1108,719,19982,11507928
12,E,1504,1,19994,15469241
13,E,649,748,19982,6746942
14,E,1419,0,19989,14526275
15,E,1344,12,19999,13828350
16,E,1003,0,19999,10212697
17,E,1295,0,19995,13247845
18,E,845,742,19982,8768253
19,E,1093,0,19973,11193251
20,E,546,0,19949,5515000
21,E,853,405,19996,8750717
22,E,1738,11,19994,17800741
23,E,1503,225,19989,15526967
24,E,1434,0,19989,14783307
25,E,1327,272,19987,13683876
26,E,1404,218,19995,14466162
27,E,324,747,19971,3344432
28,E,1485,407,19986,15337277
29,E,1449,0,19989,14818984
30,E,1054,8,19986,10874974
31,E,1761,10,19988,18084840
32,E,1312,111,19998,13494193
33,E,1354,62,19987,13912146
34,E,400,0,19950,3990004
35,E,496,0,19953,4935442
36,E,825,4,19999,8454705
37,E,1050,725,19992,10849345
38,E,1189,0,19985,12177115
39,E,1135,723,19989,11770964
40,E,1454,678,19992,15056370
41,E,1082,729,19995,11203884
42,E,1045,405,19998,10816901
43,E,800,732,19975,8331221
44,E,1159,727,19999,12030180
45,E,1754,3,19993,17982367
46,E,1301,0,19996,13329769
47,E,1432,16,19987,14701985
48,E,1506,9,19992,15443775
49,E,870,730,19984,9016675
50,E,1070,15,19993,10964461
51,E,868,0,19980,8769628
52,E,1479,8,19993,15161111
53,E,1456,671,19990,15087027
54,E,940,728,19996,9730574
55,E,1219,209,19989,12623205
56,E,1032,404,19983,10714672
57,E,1224,314,19984,12644737
58,E,840,733,19979,8719174
59,E,1123,2,19994,11450983
60,E,1431,728,19987,14799069
61,E,1269,373,19993,13163557
62,E,1486,9,19993,15375888
63,E,1025,676,19993,10639897
64,E,1297,716,19991,13408001
65,E,1588,2,19988,16281914
66,E,976,111,19990,10087194
67,E,1397,0,19982,14232270
68,E,1668,9,19994,17140786
69,E,1079,724,19991,11186909
70,E,1368,667,19999,14194342
71,E,1073,60,19999,11066071
72,E,1432,4,19988,14646699
73,E,1007,729,19983,10432119
74,E,1459,9,19997,14976767
75,E,1160,13,19990,11954008
76,E,1206,0,19990,12317437
77,E,1346,105,19994,13907899
78,E,1497,9,19985,15432758
79,E,1252,261,19986,12908099
80,I,1260,1,19990,12950073
81,I,1343,104,19990,13838460
82,I,862,729,19995,8917480
83,I,353,104,19951,3615059
84,I,1138,729,19983,11832160
85,I,1272,171,19990,13120530
86,I,1204,727,19993,12481589
87,I,1353,2,19999,13853079
88,I,1215,11,19994,12498732
89,I,1257,11,19986,12970903
90,I,917,675,19992,9509512
91,I,1517,223,19995,15631624
92,I,1119,622,19991,11594706
93,I,1184,0,19985,12105928
94,I,1483,164,19994,15250883
95,I,1207,0,19999,12406207
96,I,1334,3,19987,13679287
97,I,1777,19,19989,18319718
98,I,1604,4,19991,16504478
99,I,1254,404,19985,13008798
100,E,1390,12,19999,14242510
101,E,1213,715,19994,12573159
102,E,1631,8,19994,16752668
103,E,1290,0,19984,13264396
104,E,1285,2,19988,13123190
105,E,1471,3,19995,15058553
106,E,1241,721,19989,12866913
107,E,1128,104,19987,11596462
108,E,859,726,19997,8973895
109,E,1586,2,19991,16261881
110,E,1224,365,19995,12685724
111,E,872,723,19983,9037142
112,E,1275,0,19998,13015811
